episode,score,total_score,eval_score
844,15.00,42703.00,123.47
845,14.00,42717.00,123.47
846,15.00,42732.00,123.48
847,12.00,42744.00,123.48
848,13.00,42757.00,123.48
849,12.00,42769.00,123.48
850,10.00,42779.00,123.49
851,10.00,42789.00,123.49
852,11.00,42800.00,123.49
853,9.00,42809.00,123.49
854,12.00,42821.00,123.50
855,10.00,42831.00,123.50
856,10.00,42841.00,123.50
857,11.00,42852.00,123.50
858,13.00,42865.00,123.50
859,11.00,42876.00,123.51
860,12.00,42888.00,123.51
861,9.00,42897.00,123.51
862,11.00,42908.00,123.51
863,11.00,42919.00,123.52
864,13.00,42932.00,123.52
865,15.00,42947.00,123.52
866,12.00,42959.00,123.52
867,13.00,42972.00,123.53
868,15.00,42987.00,123.53
869,29.00,43016.00,123.54
870,20.00,43036.00,123.54
871,105.00,43141.00,123.56
872,215.00,43356.00,123.61
873,114.00,43470.00,123.63
874,104.00,43574.00,123.65
875,97.00,43671.00,123.67
876,60.00,43731.00,123.68
877,59.00,43790.00,123.70
878,55.00,43845.00,123.71
879,60.00,43905.00,123.72
880,60.00,43965.00,123.73
881,60.00,44025.00,123.74
882,78.00,44103.00,123.76
883,84.00,44187.00,123.78
884,195.00,44382.00,123.82
885,500.00,44882.00,123.92
886,97.00,44979.00,123.94
887,81.00,45060.00,123.96
888,78.00,45138.00,123.98
889,74.00,45212.00,123.99
890,115.00,45327.00,124.01
891,160.00,45487.00,124.05
892,74.00,45561.00,124.06
893,78.00,45639.00,124.08
894,90.00,45729.00,124.10
895,156.00,45885.00,124.13
896,166.00,46051.00,124.16
897,61.00,46112.00,124.18
898,500.00,46612.00,124.28
899,58.00,46670.00,124.29
900,54.00,46724.00,124.30
901,57.00,46781.00,124.31
902,500.00,47281.00,124.42
903,50.00,47331.00,124.43
904,28.00,47359.00,124.43
905,30.00,47389.00,124.44
906,34.00,47423.00,124.45
907,27.00,47450.00,124.45
908,38.00,47488.00,124.46
909,39.00,47527.00,124.47
910,27.00,47554.00,124.47
911,28.00,47582.00,124.48
912,34.00,47616.00,124.49
913,35.00,47651.00,124.49
914,80.00,47731.00,124.51
915,191.00,47922.00,124.55
916,78.00,48000.00,124.57
917,41.00,48041.00,124.58
918,44.00,48085.00,124.58
919,39.00,48124.00,124.59
920,54.00,48178.00,124.60
921,38.00,48216.00,124.61
922,71.00,48287.00,124.63
923,44.00,48331.00,124.64
924,56.00,48387.00,124.65
925,74.00,48461.00,124.66
926,178.00,48639.00,124.70
927,57.00,48696.00,124.71
928,49.00,48745.00,124.72
929,500.00,49245.00,124.82
930,55.00,49300.00,124.84
931,50.00,49350.00,124.85
